opportunity_id,name,type,country,min_cgpa,domicile_requirement,income_ceiling_pkr,funding_type,deadline,degree_level,field_requirement,source_url,last_verified_date
1,HEC Ehsaas Undergraduate Scholarship,Government - HEC,Pakistan,,All provinces,Need-based (NSER registered / low income),100% tuition + monthly stipend,Announced yearly via HEC (check portal),Undergraduate,All disciplines,https://ehsaas.hec.gov.pk,
2,HEC Need-Based Undergraduate Scholarship (UGSP),Government - HEC,Pakistan,,All provinces (public HEC-recognized universities only),Financial need assessed by university committee,100% tuition + stipend,Rolling / per semester,Undergraduate,All disciplines,https://scholarship.hec.gov.pk,
3,HEC Indigenous PhD Fellowship,Government - HEC,Pakistan,MPhil/MS with research aptitude,All provinces,,Monthly stipend + research funding,Varies by cycle,PhD,All disciplines,https://hec.gov.pk/scholarships,
4,HEC Overseas PhD Scholarships (various countries),Government - HEC,Pakistan,"Strong academic record, MS/MPhil",All provinces,,Full tuition + stipend abroad,Varies,PhD,All disciplines,https://hec.gov.pk/scholarships,
5,Benazir Undergraduate Scholarship,Government (BISP-linked),Pakistan,,All provinces,Underprivileged/low-income background,Tuition support + stipend,Announced yearly,Undergraduate,All disciplines,https://hec.gov.pk/scholarships,
6,PEEF Merit & Need-Based Scholarship (Punjab),Punjab Educational Endowment Fund,Pakistan,Merit-based,"Punjab domicile (also AJK, GB, ICT, FATA)","Household income <= Rs.60,000/month",Tuition + monthly stipend,Varies (check site),Intermediate / Undergraduate / Masters,All disciplines,https://www.peef.org.pk,
7,BEEF/PEEF Scholarship for Balochistan Students,Balochistan Education Endowment Fund,Pakistan,Merit-based,Balochistan domicile,Income-based need,Tuition support (~460 slots/year),November (varies),Intermediate / Undergraduate / Masters,All disciplines,https://beef.org.pk,
8,Sindh Educational Endowment Fund (SEEF) Scholarship,Government of Sindh,Pakistan,Merit-based,Sindh,Need-based,Tuition + stipend,Varies,Undergraduate/Masters,All disciplines,https://sindheducation.gos.pk,
9,KPK Educational Endowment Fund Scholarship,Government of Khyber Pakhtunkhwa,Pakistan,Merit-based,Khyber Pakhtunkhwa,Need-based,Tuition support,Varies,Undergraduate/Masters,All disciplines,https://kpeef.gov.pk,
10,LUMS National Outreach Programme (NOP),LUMS (Private University),Pakistan,Top academic performer (no fixed CGPA -- pre-admission),All provinces (rural/underserved focus),Financial need,"100% funded: tuition, hostel, meals, stipend",Summer Coaching Session applications ~1-2 years before enrollment,Undergraduate,All LUMS undergrad programs,https://nop.lums.edu.pk,
11,LUMS Undergraduate Merit Scholarship,LUMS (Private University),Pakistan,Outstanding academic performance at admission,All provinces,,Partial to full tuition (100 scholarships/year),With admission cycle (~June-Aug),Undergraduate,All LUMS undergrad programs,https://financial-aid.lums.edu.pk,
12,LUMS Need-Based Financial Aid,LUMS (Private University),Pakistan,,All provinces,Demonstrated financial need,Loan + waiver on tuition/fees,With admission application,Undergraduate/Graduate,All LUMS programs,https://financial-aid.lums.edu.pk,
13,FAST-NU Merit & Need-Based Scholarships,FAST-NUCES (Private University),Pakistan,High NU entry test score,All provinces,Financial need,Up to 100% tuition waiver,With admission cycle,Undergraduate,"CS, Engineering, Business",https://www.nu.edu.pk,
14,IBA Karachi Need-Based & Merit Scholarships,Institute of Business Administration,Pakistan,Merit-based,All provinces,Financial need assessment,Full/partial tuition support,With admission cycle,Undergraduate/Graduate,"Business, Economics, CS, Social Sciences",https://www.iba.edu.pk/financial-aid,
15,NED University Merit & Endowment Scholarships,NED University of Engineering & Technology,Pakistan,Merit-based (entry test/CGPA),Sindh (open to all provinces),,Tuition fee waiver/stipend,With admission cycle,Undergraduate,Engineering disciplines,https://www.neduet.edu.pk,
16,UET Lahore Merit & Ehsaas Scholarships,University of Engineering & Technology Lahore,Pakistan,Merit (entry test),Punjab (open to all),Need-based (Ehsaas track),Tuition support + Ehsaas stipend,With admission cycle,Undergraduate,Engineering disciplines,https://www.uet.edu.pk,
17,GIKI Merit & Need-Based Financial Assistance,Ghulam Ishaq Khan Institute,Pakistan,High merit,All provinces,Financial need,Full/partial tuition + hostel,With admission cycle,Undergraduate,"Engineering, Computer Science",https://www.giki.edu.pk,
18,NUST Need-Based & Merit Scholarships,National University of Sciences & Technology,Pakistan,Merit (NET score),All provinces,Need-based options available,"Tuition waiver, stipend (varies)",With admission cycle,Undergraduate/Graduate,"Engineering, CS, Business, Sciences",https://nust.edu.pk/scholarships,
19,Fulbright Foreign Student Program (USA),USEFP / U.S. Government,USA,16 years education (MS) / strong academic record; return-to-Pakistan obligation,All provinces,,"Full tuition, stipend, airfare, insurance","Opens ~October, closes ~April 1",Master's / PhD,All fields except clinical medicine,https://www.usefp.org,
20,Chevening Scholarship (UK),UK Government / FCDO,UK,"UK 2:1 equivalent degree, 2+ years work experience",All provinces,,"Full tuition, stipend, airfare, visa costs","Opens ~August, closes ~November",Master's (1 year),All fields,https://www.chevening.org,
21,Commonwealth Scholarship (UK),HEC nomination + Commonwealth Scholarship Commission,Pakistan,First-class academic record; HEC nomination required,All provinces,,"Full tuition, stipend, airfare",Varies (HEC nomination cycle),Master's / PhD,All fields (priority areas vary),https://hec.gov.pk/scholarships,
22,DAAD Scholarships (Germany),German Academic Exchange Service,Germany,Strong academic record; varies by programme,All provinces,,"Monthly stipend (~EUR 934-1,300) + insurance + travel",Multiple cycles year-round,Master's / PhD,All fields (varies by programme),https://www.daad.de,
23,Chinese Government Scholarship (CSC),China Scholarship Council,China,First-class degree / 3.7+ GPA equivalent,All provinces,,"Tuition, accommodation, stipend, insurance",March-May for September intake,Undergraduate/Master's/PhD,All fields,https://www.csc.edu.cn/laihua,
24,Turkiye Burslari Scholarship (Turkey),Government of Turkey,Turkey,Minimum GPA varies by level,All provinces,,"Full tuition, stipend, housing, Turkish language course",January-February,Undergraduate/Master's/PhD,All fields,https://www.turkiyeburslari.gov.tr,
25,Australia Awards Scholarship,Australian Government,Australia,Bachelor's degree + relevant experience,All provinces,,"Full tuition, living allowance (~AUD 30,000/yr), insurance",Typically April-June,Master's,"Priority: Agriculture, Governance, Climate, Health",https://www.australiaawardspakistan.org,
26,MEXT Scholarship (Japan),Government of Japan / Embassy of Japan,Japan,Strong academic record; age limits apply,All provinces,,"Full tuition, monthly stipend, airfare",April-June (varies),Undergraduate/Master's/PhD,All fields,https://www.pk.emb-japan.go.jp,
